mesec,tip,st_vseh,st_dizel,st_dizel_hev,st_bencin,st_bencin_hev,st_skupaj_hev,st_bev,st_drugo,st_elektrificiranih
2019-11,tovorno vozilo,1399,1216,0,167,0,0,15,1,15
2019-11,traktor,243,226,0,17,0,0,0,0,0
2019-11,vlečno vozilo,255,255,0,0,0,0,0,0,0
2019-12,avtobus,9,9,0,0,0,0,0,0,0
2019-12,osebni avtomobil,7082,3812,30,3051,141,171,27,21,198
2019-12,tovorno vozilo,1066,964,0,94,0,0,8,0,8
2019-12,traktor,267,256,0,11,0,0,0,0,0
2019-12,vlečno vozilo,155,155,0,0,0,0,0,0,0
2020-01,avtobus,17,17,0,0,0,0,0,0,0
2020-01,osebni avtomobil,9097,4590,62,4086,225,287,124,10,411
2020-01,tovorno vozilo,1318,1285,3,25,0,3,4,1,7
2020-01,traktor,219,191,0,28,0,0,0,0,0
2020-01,vlečno vozilo,261,260,0,0,0,0,0,1,0
2020-02,avtobus,10,10,0,0,0,0,0,0,0
2020-02,osebni avtomobil,8469,4343,49,3654,233,282,179,11,461
2020-02,tovorno vozilo,944,927,0,12,0,0,2,3,1
2020-02,traktor,259,238,0,21,0,0,0,0,0
2020-02,vlečno vozilo,231,230,0,0,0,0,0,1,0
2020-03,avtobus,5,5,0,0,0,0,0,0,0
2020-03,osebni avtomobil,4228,2201,28,1729,151,179,113,6,291
2020-03,tovorno vozilo,536,530,0,6,0,0,0,0,0
2020-03,traktor,190,182,0,8,0,0,0,0,0
2020-03,vlečno vozilo,113,113,0,0,0,0,0,0,0
2020-04,osebni avtomobil,2946,1586,19,1182,73,92,83,3,175
2020-04,tovorno vozilo,435,427,0,7,1,1,0,0,1
2020-04,traktor,261,226,0,35,0,0,0,0,0
2020-04,vlečno vozilo,69,69,0,0,0,0,0,0,0
2020-05,avtobus,5,5,0,0,0,0,0,0,0
2020-05,osebni avtomobil,7723,3975,60,3354,176,236,117,41,351
2020-05,tovorno vozilo,845,827,0,14,0,0,0,4,0
2020-05,traktor,562,504,0,58,0,0,0,0,0
2020-05,vlečno vozilo,118,116,0,0,0,0,0,2,0
2020-06,avtobus,4,4,0,0,0,0,0,0,0
2020-06,osebni avtomobil,9507,4571,79,4461,231,310,151,14,461
2020-06,tovorno vozilo,907,881,0,12,1,1,9,4,10
2020-06,traktor,381,320,0,60,0,0,1,0,0
2020-06,vlečno vozilo,169,164,0,0,0,0,0,5,0
2020-07,avtobus,6,4,0,0,0,0,2,0,2
2020-07,osebni avtomobil,9684,4871,92,4262,273,365,159,27,519
